Node,total_upsets,total_games,rate
Arsenal,4,38,0.105263
Aston Villa,11,38,0.289474
Bournemouth,9,38,0.236842
Brentford,8,38,0.210526
Brighton,13,38,0.342105
Chelsea,7,38,0.184211
Crystal Palace,7,38,0.184211
Everton,9,38,0.236842
Fulham,8,38,0.210526
Leeds,7,38,0.184211
Leicester,11,38,0.289474
Liverpool,10,38,0.263158
Man City,5,38,0.131579
Man United,8,38,0.210526
Newcastle,3,38,0.078947
Nott'm Forest,9,38,0.236842
Southampton,6,38,0.157895
Tottenham,6,38,0.157895
West Ham,9,38,0.236842
Wolves,14,38,0.368421
