Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Liverpool,1,-4.707944,-2.341453,0.105263
Newcastle,2,-2.722741,-0.557867,0.289474
Man City,3,-2.638629,0.336987,0.210526
Arsenal,4,-2.554518,-0.709337,0.131579
Aston Villa,5,-2.430685,0.252627,0.210526
Chelsea,6,-2.207944,-0.435413,0.157895
Nott'm Forest,7,-1.638629,0.153411,0.210526
Brighton,8,-1.207944,1.776455,0.236842
Brentford,9,-0.500000,1.183345,0.210526
Crystal Palace,10,-0.500000,1.855184,0.184211
Fulham,11,-0.430685,3.837259,0.421053
Bournemouth,12,-0.207944,1.888136,0.236842
Everton,13,0.430685,1.884191,0.236842
West Ham,14,1.138629,0.207838,0.184211
Wolves,15,1.277259,-1.001500,0.131579
Man United,16,1.569315,2.496554,0.210526
Tottenham,17,2.207944,0.374518,0.263158
Ipswich,18,4.277259,-1.171168,0.157895
Leicester,19,4.569315,-2.641107,0.105263
Southampton,20,6.277259,-3.110138,0.052632
